sim_coef,sim_pval
-0.04561964931502895,0.36888475316731206
0.013411602978835964,0.7831858394559432
-0.0013261754150623699,0.9770787952272681
-0.032885516917185796,0.5197974681546178
0.0378097232308304,0.5604865418892366
-0.0461834719145081,0.3809516264237165
-0.0259046238390251,0.6096494303531106
0.04792606865264091,0.49366181542138854
-0.09449443581522707,0.029494148790621955
-0.0694638127708143,0.1309793312204719
0.0826380647899848,0.17581330187444877
-0.10194176218432083,0.009308712903982386
-0.006907714065210901,0.8983172050017454
-0.09089052545334164,0.030443293390441495
0.036858909504757925,0.598532915655039
-0.00861430381193185,0.8732523485809494
-0.011863745154159342,0.8229135241619938
0.07793595851579492,0.23106247782717726
0.010070751542398521,0.8816970412336715
-0.028158321292685223,0.5675011284609424
-0.05204298809309191,0.2724749280021297
0.009291961849477063,0.888515757281308
-0.10957569240951909,0.00222164715560047
-0.03902625562864115,0.44253859773325943
0.02522915055798847,0.7073565999048186
0.05685548419738867,0.41289278199060897
0.09592875790303758,0.14775768269697465
-0.006156352761546483,0.9074723832580958
0.027227930120270798,0.6810499998122062
-0.11264781589704988,0.0030307224320480497
0.023870559165370227,0.627441534284574
0.059625891221198664,0.35790557773893816
0.06785103656286928,0.2863713143114881
0.04815135205216053,0.2858505199678616
-0.07584920842293828,0.21739949281955928
-0.004401943994585877,0.9332912073559005
-0.05946346642674619,0.24297751341529294
-0.022480044872064116,0.6860051636961546
-0.005320976934984399,0.9382387546639128
0.10429213007193991,0.05783745208130653
-0.03075028882134886,0.5674088356689442
-0.02963643931653443,0.5832537074696194
-0.030191859242711488,0.5032712503131274
0.06883555366800596,0.3330955837320979
-0.03902625562864115,0.44253859773325943
-0.08532089987711039,0.06820199479973277
-0.02942624122434727,0.5535420924239234
-0.014330788435937098,0.7870579888184317
-0.0018598720632030956,0.9780618615420213
-0.0424277042593583,0.38429973534973216
0.031180853794364118,0.6499883891401375
0.05520679652340022,0.42228846305859435
-0.03032844698689354,0.5182104027519014
0.08545169988438393,0.30097601649334127
-0.07122871453748233,0.09870162211633327
-0.033259392782841686,0.49310443526046144
-0.01723855226644511,0.7398457324698069
-0.022877891209160863,0.672191542481622
-0.01970793014259905,0.6991157862681949
-0.02779598434826725,0.5952225827758162
0.015160209526508137,0.8210059370578069
0.05703314177917112,0.41120556989724966
-0.022087393235492227,0.6469069108561389
-0.023264377519811807,0.6510954543983414
0.024607428685696337,0.6530579733410384
0.08008402676107748,0.21337173947010202
-0.07611592973701055,0.2192926201039711
-0.03435053427849795,0.4669030772563336
0.020374546947287294,0.7651041236646221
-0.03959108652700406,0.3943631689592375
0.032452334537497664,0.6255709781517833
-0.02451242559628364,0.6567568437485969
0.059273350266772176,0.2652947635701126
-0.021620774231261058,0.6503535067449326
-0.05441513664959803,0.2612108135328839
0.04723415892161747,0.5310144863755588
-0.03902625562864115,0.44253859773325943
0.06365581508489371,0.38472828228674505
-0.002538230861833481,0.9692852653445996
0.052472415044790666,0.34620284519873445
0.0524280771827095,0.5054970657147233
0.06325511284873948,0.35584364614944963
-0.030182761724491674,0.5418095051025862
-0.025291947287682002,0.6053375940618149
-0.019650772141825378,0.7765000815365197
0.019199571796927654,0.7812574358878774
-0.10194176218432083,0.009308712903982386
-0.05326797371389765,0.27182300460978914
-0.025254624529997077,0.6511336002120953
-0.06168839751435966,0.17121454430411087
0.062290259396376585,0.35643283623570277
-0.076970639483502,0.09520408251484769
-0.02852472659223958,0.5761937939350474
-0.041855429319663046,0.39982719458719274
0.08577777414126393,0.16711332135372436
0.04146295014278068,0.4980060519226295
0.002688292304284975,0.971852738218848
-0.014330788435937098,0.7870579888184317
-0.039786090564155926,0.43050536648418447
-0.07725288336740647,0.07016698884260619
0.026571522933166152,0.569867491504596
-0.008069400809316377,0.87108090873082
-0.022386743589739317,0.6711114278566535
0.09675918037323679,0.11547723383675557
-0.1294049834343557,3.294967085110123e-05
-0.07472544226751122,0.2305896658822313
-0.06696927279025917,0.14001942094607656
0.028778625452804584,0.6755215686975826
-0.0351246031665956,0.5082145731294796
-0.02695589598852407,0.5961370159990529
0.009538678969411584,0.8968486356891896
0.11766132296132252,0.07745884108946521
0.08453671585596048,0.21282599921907885
-0.10688883844392731,0.004280641119950079
-0.028225462414673996,0.5372737419068128
-0.002192839886234631,0.9664827586591567
0.0675399067745712,0.2980761407798618
-0.06027619840646215,0.18661051624144576
0.06833525238718421,0.2507547886379089
-0.09556961577439302,0.024539764297505595
0.004387494664706592,0.930540889786349
0.09360031319846171,0.13686678912500105
-0.03075028882134886,0.5674088356689442
-0.04221746454677362,0.338018295358705
-0.06287394537965078,0.21188245992947263
-0.033977556162101415,0.4755831572703284
-0.0035118382584149667,0.9497083278856475
-0.06377227361726542,0.169485010109669
-0.04679531735334151,0.35833269598304884
-0.02424150410163488,0.6658885363334819
0.0218622659029845,0.750345398606578
-0.04268674452635742,0.3960233282571801
-0.05330499526279375,0.23944649695626086
0.06889761151441032,0.3702368428568228
0.025666149455059014,0.6272304147449792
-0.020795120340876178,0.7725026402321415
-0.05624156266216785,0.23153262727468693
0.03456793181050891,0.6185691060518441
0.01890387948864524,0.7751514437084193
-0.04987405539213374,0.30326490429491026
0.037681341435746425,0.4294931127467869
0.058065814436011054,0.4105669621596826
-0.037808582396421334,0.4848732257916357
0.024886370195261933,0.589549418025431
-0.04825208150599434,0.3366964661421763
-0.04119860315765054,0.3645169357140223
0.06758186689943596,0.1655890077638822
-0.03160025529508552,0.5548274330157597
0.0048661711124719405,0.9347901405937562
0.07099183198819305,0.3464006944840261
-0.042476204411123604,0.38320593519739043
-0.08573736749136644,0.05382579029535206
-0.04557661464391861,0.31380831874444515
0.05502377019705782,0.36435992143983853
-0.022165965860674697,0.6691787359154757
0.05903367097868949,0.3979309864540277
0.09818241877681956,0.09898349308411913
0.016446068135898457,0.7645371173770341
-0.07435459276796508,0.10286518786088128
-0.08960798529644022,0.03857276672670307
-0.06070081432862251,0.24701827023462863
0.08784909543369641,0.17799165561570707
-0.02462552689484928,0.641677340681357
-0.11675712397727085,0.0014161038566886663
0.08003411504973407,0.34876704421910576
-0.07472544226751122,0.2305896658822313
-0.07582155965036412,0.07347457385540124
0.010386585684346684,0.8383218363735505
-0.0694638127708143,0.1309793312204719
-0.029123368351777038,0.5681984220613785
-0.04825208150599434,0.3366964661421763
-0.04796898379644972,0.34222288316952576
0.0784157072054816,0.21925151960718847
0.0033319345882225496,0.9485005330227483
-0.047535356523037794,0.2906459421339953
-0.06184891339332306,0.2300523378577879
0.002688292304284975,0.971852738218848
-0.014735463110739585,0.7638748195379976
-0.03435761409920806,0.49956294624776776
0.03882014514583105,0.5469105886580299
0.06958416407386085,0.23368735595917411
-0.02852472659223958,0.5761937939350474
0.05420696222598816,0.36677669109088407
0.015579830639350279,0.7871658401872033
0.024536068920146904,0.6735581685729555
0.00927734758611659,0.8707920634925146
-0.015610712906481836,0.7495925957043073
-0.078520381026239,0.058202567110722914
-0.011831137887946564,0.823007447506177
-0.06983309078877808,0.10104726148846188
-0.02242992476412274,0.7279559399441653
0.01871934910310477,0.7912200724542107
0.0940760134004086,0.09879722686055503
0.08501821238226641,0.22211157655339253
0.003946679438623133,0.9554387020802884
-0.020723042566015634,0.6641329371548643
-0.042079030974430075,0.38885958164244716
-0.06271903864045769,0.15636721340623172
0.025962823717799174,0.7095792223279971
0.1173378459358026,0.049503869478892515
0.04046955147387122,0.5924090740678021
-0.04682560960415409,0.3442571329094064
-0.0009152013092131121,0.9873305017686391
-0.026765083662180396,0.5984245485087336
-0.008660733556203632,0.8601316975350222
0.019337671971006262,0.7733910904402328
-0.07547515605762652,0.06773146766453553
0.009291961849477063,0.888515757281308
0.015704466484023464,0.8296748208301667
0.002931903577085245,0.9598105716914498
-0.07167794685250035,0.08974825039830248
-0.07140769788227791,0.0891694953086426
0.03703322087982338,0.4734552498003479
0.0651719532140317,0.34356935530527477
0.11766132296132252,0.07745884108946521
-0.11356458349834939,0.00143341899372329
0.03171081036311717,0.6414892184810923
0.05911181364416977,0.36939540329093234
0.009866351154476498,0.826999915820497
-0.00903262323527314,0.876429731088733
0.02599354564699709,0.7009812442207699
-0.03207237869403618,0.49073401807308437
0.0354935524038635,0.5051104059491223
0.06143402999803034,0.22955835411099845
0.07189084206456478,0.2745952737628039
0.04209856069841357,0.3810809208334185
0.08501821238226641,0.22211157655339253
0.07329055057088692,0.2549891947743892
-0.008341014257628076,0.8757817477367187
0.045149496200592665,0.5284187447590358
-0.06769025472369634,0.11511165243394106
0.006269917358382164,0.9173362645164915
0.07322917468565206,0.2639857103788843
0.07793595851579492,0.23106247782717726
