中介变量,总效应,直接效应,a,a_p,b,b_p,中介效应,中介效应占比(%),Bootstrap_p,显著性
能源利用效率,-0.2831,-0.2328,0.0569,0.534,-0.5172,0.005,-0.0294,10.39,0.017,✅ 显著
非化石能源消费占比,-0.2831,-0.2328,-0.0051,0.27,2.4488,0.594,-0.0126,4.44,0.522,❌ 不显著
第三产业增加值占比,-0.2831,-0.2328,-0.065,0.638,0.1284,0.349,-0.0084,2.95,0.635,❌ 不显著
