分组维度,分组类型,核心变量,核心变量含义,核心变量系数,标准误,t值,P值,显著性,R²,观测值数量
东中西部区域,东部,gfi_std,标准化绿色金融综合指数,-0.1931,0.1,-1.9317,0.0546,,0.3853,275
东中西部区域,西部,gfi_std,标准化绿色金融综合指数,0.204,0.2277,0.896,0.3712,,0.2168,275
东中西部区域,中部,gfi_std,标准化绿色金融综合指数,-0.6146,0.254,-2.4201,0.0166,*,0.5105,200
经济水平,高组,gfi_std,标准化绿色金融综合指数,-0.1411,0.0782,-1.805,0.072,,0.113,375
经济水平,低组,gfi_std,标准化绿色金融综合指数,-0.3409,0.3144,-1.0843,0.279,,0.306,375
能源依赖度,高组,gfi_std,标准化绿色金融综合指数,-0.3505,0.2127,-1.6481,0.1003,,0.3012,375
能源依赖度,低组,gfi_std,标准化绿色金融综合指数,-0.2182,0.1871,-1.1664,0.2443,,0.0711,375
