变量名,变量含义,系数,标准误,P值,显著性
gfi_std,标准化绿色金融综合指数,-0.0188,0.1816,0.9177,
gfi_std_east,gfi_std_east,-0.5273,0.1484,0.0004,***
人均能源消耗,人均能源消耗,0.3184,0.0806,0.0001,***
人均地区生产总值,人均地区生产总值,0.0,0.0,0.2545,
