检验类型,核心变量,核心变量系数,P值,显著性,R²,观测值数
替换被解释变量(减排效率),gfi_std,-0.0761,0.0021,**,0.1322,750
核心解释变量滞后一期,gfi_std_lag1,-0.4296,0.0178,*,0.2994,720
剔除直辖市样本,gfi_std,-0.368,0.0172,*,0.2722,650
排除环保税政策干扰(2018前),gfi_std,-0.504,0.0718,,0.395,540
PSM-DID倾向得分匹配,绿色金融试点DID,-0.3486,0.4006,,0.1608,400
面板门槛效应模型(Hansen),gfi_std(门槛值=0.5725),门槛前=1.2169; 门槛后=0.6215,门槛前=0.0; 门槛后=0.0,门槛前=***; 门槛后=***,,690
