年份,莫兰指数,p值
2000,0.0276,0.001
2001,0.026,0.001
2002,0.026,0.001
2003,0.0241,0.001
2004,0.0235,0.001
2005,0.0251,0.001
2006,0.0259,0.001
2007,0.0259,0.001
2008,0.0208,0.001
2009,0.0191,0.001
2010,0.0249,0.001
2011,0.0254,0.001
2012,0.024,0.001
2013,0.0264,0.001
2014,0.0302,0.001
2015,0.0402,0.001
2016,0.0467,0.001
2017,0.0558,0.001
2018,0.0584,0.001
2019,0.0606,0.001
2020,0.0633,0.001
2021,0.0671,0.001
2022,0.0623,0.001
2023,0.0642,0.001
2024,0.0656,0.001
