核心解释变量(替换为),系数,P值,显著性,R²,观测值数
绿色信贷,,,,0.03,7200
绿色投资,,,,0.03,7200
绿色保险,,,,0.03,7200
绿色债券,,,,0.03,7200
绿色支持,,,,0.03,7200
绿色基金,,,,0.03,7200
绿色权益,,,,0.03,7200
