分组维度,分组类型,核心变量,核心变量含义,核心变量系数,标准误,t值,P值,显著性,R²,观测值数量
长江经济带,长江经济带,gfi_std,标准化绿色金融综合指数,-0.0043,0.0759,-0.0571,0.9545,,0.0744,2750
长江经济带,非长江经济带,gfi_std,标准化绿色金融综合指数,-0.2255,0.0795,-2.8367,0.0046,**,0.0756,4450
经济水平,高组,gfi_std,标准化绿色金融综合指数,-0.018,0.0196,-0.9172,0.3591,,0.0969,3600
经济水平,低组,gfi_std,标准化绿色金融综合指数,-0.2544,0.1275,-1.9954,0.0461,*,0.077,3600
能源依赖度,高组,gfi_std,标准化绿色金融综合指数,-0.1384,0.0478,-2.8918,0.0039,**,0.0852,3600
能源依赖度,低组,gfi_std,标准化绿色金融综合指数,0.0112,0.0828,0.1352,0.8925,,0.0277,3600
