中介变量,总效应,直接效应,a,a_p,b,b_p,中介效应,中介效应占比(%),Bootstrap_p,显著性
能源利用效率,-0.1489,-0.1515,510.3961,0.745,0.0,0.247,0.0002,-0.11,0.361,❌ 不显著
非化石能源消费占比,-0.1489,-0.1515,0.0082,0.058,1.0665,0.041,0.0087,-5.84,0.041,✅ 显著
第三产业增加值占比,-0.1489,-0.1515,0.0069,0.113,-0.9082,0.027,-0.0062,4.19,0.073,❌ 不显著
