年份,省份,绿色金融综合指数,绿色信贷,绿色投资,绿色保险,绿色债券,绿色支持,绿色基金,绿色权益,能源消费总量,年末常住人口,地区生产总值,人均能源消耗,能源强度,CO2排放量,碳排放强度,第一产业增加值,第二产业增加值,第三产业增加值,人均地区生产总值,Post_green,Treat_green,绿色金融试点DID,全国均值,减排效率,能源消费总量.1,煤炭消费量,焦炭消费量,原油消费量,汽油消费量,煤油消费量,柴油消费量,燃料油消费量,天然气消费量,电力消费量,Post_carbon,Treat_carbon,碳排放交易DID,产业结构高级化,能源利用效率,绿色信贷规模,indus_2,carbon_trading,environmental_tax,gfi_std,ln_pop
2000,上海市,0.25015693,0.044683,0.0109,0.020242,0.007058,0.006483,0.040404,0.021092,5499.0,1608.63,4551.15,3.41843680647507,1.20826604264856,71238765.23,-1.56529152477945,271.0,391.2,367.7,2759,0,1,0,4.53658228674969,0.654962386695529,5499.48,4496.08,719.99,1309.7,133.25,55.71,176.44,494.2,2.54,559.45,0,1,0,0.9399284253578732,0.8276322967812328,9.817958098502578e-06,0.08595629676015952,0,0,-0.049411011838123874,7.383138164053618
2001,上海市,0.26246803,0.046675,0.011835,0.021441,0.00722,0.006179,0.045147,0.020595,5818.0,1668.33,5210.12,3.48731965498433,1.11667293651586,69336069.87,-1.3307960252355,274.2,433.5,425.6,3000,0,1,0,4.16809156222866,0.680718140336647,5818.0,4610.0,709.82,1355.03,137.33,59.57,231.8,492.61,3.3,592.99,0,1,0,0.9817762399077279,0.8955173599174974,8.958526866943565e-06,0.08320345788580685,0,0,0.03260005519962521,7.4195784050772176
2002,上海市,0.29612249,0.050214,0.012715,0.022137,0.007243,0.00812,0.05069,0.023468,6249.0,1712.97,5741.03,3.64804987828158,1.0884806384917,80592789.52,-1.40380366449923,280.8,482.0,480.7,3257,0,1,0,4.06804884448575,0.654919663415033,6249.0,4737.0,681.24,1424.91,191.73,103.62,262.33,519.71,4.33,645.71,0,1,0,0.9973029045643154,0.9187117938870218,8.74651412725591e-06,0.08395705997007506,0,0,0.2567910840418278,7.445983985035912
2003,上海市,0.31428316,0.054759,0.013547,0.025082,0.008282,0.007849,0.049052,0.025172,6796.0,1765.84,6694.23,3.84859330403661,1.01520264466563,92042758.47,-1.37495661890912,290.9,570.7,567.4,3708,0,1,0,4.08414499624993,0.663342848950856,6796.34,5017.5,627.81,1737.52,202.24,103.44,288.32,616.07,4.97,745.97,0,1,0,0.9942176274750305,0.9850250147145378,8.180029667340382e-06,0.08525252344182976,0,0,0.3777693820672224,7.476381776832956
2004,上海市,0.33779185,0.058916,0.014604,0.026929,0.009461,0.007922,0.054268,0.024652,7406.0,1834.98,8072.83,4.0360112916762,0.917398235810738,107873304.4,-1.33625140626026,335.1,667.0,647.3,4244,0,1,0,3.89549779892895,0.656975443131387,7405.64,5144.32,590.65,1842.29,221.02,168.15,346.56,657.95,10.69,821.44,0,1,0,0.9704647676161918,1.0900391574399135,7.2980602836923364e-06,0.08262282247984908,0,0,0.5343738082809367,7.514788861246712
2005,上海市,0.3383083,0.057074,0.013682,0.025452,0.008291,0.009649,0.05275,0.027343,8225.0,1890.26,9247.66,4.35125326674637,0.889414186940264,114917647.3,-1.24266730502635,362.5,797.9,779.6,5218,0,1,0,3.71995059106252,0.665945212279981,8312.09,5324.52,630.51,1967.0,242.34,223.32,329.6,765.95,18.72,921.97,0,1,0,0.9770647950871038,1.1243355623100304,6.1717234413894974e-06,0.08628128629296493,0,0,0.5378141682464674,7.544469664729901
2006,上海市,0.36450067,0.05899,0.014085,0.025706,0.008169,0.011031,0.058324,0.030281,8876.0,1964.11,10572.24,4.51909516269455,0.839557179935378,124174851.6,-1.17453682095753,367.2,953.0,944.0,6103,0,1,0,3.57740717995078,0.671679302389702,8967.32,5143.09,655.46,1832.84,268.73,261.97,370.98,805.79,25.25,990.15,0,1,0,0.9905561385099685,1.1911041009463723,5.579706854933297e-06,0.09014172966183136,0,0,0.7122960757890531,7.582794495492653
2007,上海市,0.36513883,0.059619,0.015202,0.026577,0.008909,0.008931,0.061126,0.029547,9670.0,2063.59,12494.01,4.68600836406457,0.773970886848978,126685297.2,-1.01396827119556,430.6,1187.2,1229.7,7778,0,1,0,3.23986794305777,0.687034073913956,9767.75,5259.53,729.7,1719.57,299.66,295.45,417.17,848.61,27.78,1072.38,0,1,0,1.0357985175202156,1.2920382626680456,4.771806649746558e-06,0.09502153431924579,0,0,0.7165472135867161,7.632202463458385
2008,上海市,0.39763687,0.06436,0.016129,0.028793,0.010262,0.009176,0.063692,0.033128,10207.0,2140.64,14069.87,4.7682001644368,0.725450910349563,132790694.8,-0.943794752901057,522.6,1437.7,1544.2,9697,0,1,0,2.71728515287532,0.652669962921494,10207.0,5464.0,714.44,1951.55,340.5,321.47,427.05,788.73,30.0,1138.22,0,1,0,1.0740766502051888,1.3784530224355835,4.574313764093058e-06,0.10218289152636094,0,0,0.933034687251575,7.668860128725309
2009,上海市,0.42163331,0.069346,0.017437,0.031176,0.010273,0.010459,0.064827,0.033779,10367.0,2210.28,15046.45,4.6903559729989,0.688999730833519,149143881.2,-0.991223053942957,531.2,1574.9,1750.6,10814,0,1,0,2.66960201713366,0.628700065559873,10367.0,5305.0,677.68,1937.18,388.52,353.11,483.19,742.79,33.52,1153.38,0,1,0,1.1115626388977076,1.451379376868911,4.608794765542703e-06,0.10466920768686301,0,0,1.0928882868086673,7.700874483319012
2010,上海市,0.41174611,0.065911,0.016281,0.029572,0.010123,0.009935,0.069458,0.032586,11201.0,2302.66,17165.98,4.86437424543788,0.652511537354698,167087869.6,-0.97336633038137,602.8,1820.7,2095.5,12882,0,1,0,2.40850270516871,0.59586247161255,11201.13,5875.52,717.08,2126.5,415.37,399.07,509.04,744.28,45.01,1295.87,0,1,0,1.150930960619542,1.5325399517900187,3.8396293133278725e-06,0.10606443675222738,0,0,1.0270241623993432,7.74182025540029
2011,上海市,0.42802152,0.070721,0.017765,0.031601,0.01036,0.010995,0.065373,0.033412,11270.0,2356.0,19195.69,4.78353140916808,0.587110960845898,174000023.1,-0.906453600261309,699.6,2258.9,2657.1,16024,0,1,0,2.18035126729488,0.584262584722906,11270.0,6142.0,714.15,2134.69,472.87,400.5,532.96,675.04,55.43,1340.0,0,1,0,1.1762804905042277,1.7032555456965395,3.68421244560628e-06,0.11767745780433005,0,0,1.1354436976623863,7.764720544771477
2012,上海市,0.4376176,0.067505,0.017113,0.030404,0.009704,0.010283,0.074438,0.037593,11362.0,2399.0,20181.72,4.73614005835765,0.56298472082657,178808937.8,-0.885994542586063,862.7,2716.8,3162.8,18947,0,1,0,2.01609935715007,0.560540238533437,11362.15,5703.0,673.17,2210.55,517.35,402.74,568.99,640.15,64.38,1353.45,0,1,0,1.164163722025913,1.7762471395881008,3.3448586146274942e-06,0.1346168711091027,0,0,1.1993685102444953,7.782807262839695
2013,上海市,0.48070954,0.071562,0.018186,0.032347,0.011163,0.009866,0.083301,0.043135,11346.0,2448.0,21818.15,4.63480392156863,0.520025758370898,181461097.6,-0.831697910226119,999.3,3171.0,3802.7,22089,0,1,0,1.91398219724656,0.565462044828529,11346.0,5681.19,640.3,2611.76,532.55,437.48,555.84,603.14,72.89,1410.6,1,1,1,1.19921160517187,1.9229816675480347,3.2799297832309337e-06,0.14533771195082992,1,0,1.4864278290808832,7.803026643632217
2014,上海市,0.51026031,0.08363,0.020383,0.037937,0.012392,0.012918,0.081305,0.035496,11085.0,2467.0,23567.7,4.49331171463316,0.470347127636553,185708868.6,-0.787980450362148,1281.5,3582.4,4309.3,25101,0,1,0,1.79640226266579,0.561356347217679,11084.63,4895.78,654.84,2242.07,577.03,450.72,548.41,556.15,72.43,1369.03,1,1,1,1.202908664582403,2.1260893098782137,3.5485007022322922e-06,0.15200465043258357,1,0,1.6832819021927177,7.810758116529357
2015,上海市,0.49544013,0.079148,0.019746,0.035503,0.012079,0.01182,0.077645,0.0391,10931.0,2458.0,25123.45,4.44711147274207,0.435091518083703,193623151.9,-0.770686955414165,1642.0,4026.7,4872.3,28547,0,1,0,1.71577514742415,0.550822870600976,10931.0,4728.13,630.75,2526.11,467.04,511.45,448.87,539.72,77.41,1406.0,1,1,1,1.2099982616037948,2.2983670295489893,3.1503635050122494e-06,0.16027655437449873,1,0,1.584556461290482,7.80710329012598
2016,上海市,0.51740295,0.080308,0.02044,0.036627,0.011968,0.011273,0.082729,0.043941,11242.0,2467.0,28178.65,4.55695176327523,0.398954527629961,180941221.2,-0.642121681485806,1861.8,4468.7,5461.8,31589,0,1,0,1.62438398605541,0.60469834288067,11242.0,4625.62,596.95,2474.23,480.82,585.82,446.28,586.96,79.04,1486.02,1,1,1,1.2222346543737552,2.506551325386942,2.8499591002407853e-06,0.15858460217221193,1,0,1.730862989818235,7.810758116529357
2017,上海市,0.52198179,0.083097,0.021276,0.03766,0.012187,0.011974,0.086403,0.038741,11382.0,2466.0,30632.99,4.61557177615572,0.371560203558321,183395166.3,-0.598685163609559,2032.3,4970.9,6602.3,35988,0,1,0,1.56738551218677,0.618035793393106,11382.0,4577.84,592.31,2492.77,485.18,652.3,441.49,672.44,83.23,1526.77,1,1,1,1.328190066185198,2.69135389211035,2.7126637001481083e-06,0.1622727654074904,1,0,1.761365183301768,7.81035268372429
2018,上海市,0.51466229,0.079338,0.019623,0.036318,0.012297,0.011101,0.084451,0.043277,11454.0,2475.0,32679.87,4.62787878787879,0.350490990325237,188249237.8,-0.576040350833709,2156.0,5506.2,7691.0,40271,0,1,0,1.51591455826218,0.620004737276173,11454.0,4420.62,621.28,2309.12,494.01,701.64,439.49,658.22,93.49,1566.66,1,1,1,1.3967890741346118,2.8531403876375063,2.427733035657731e-06,0.1684890423370717,1,1,1.7126059330980652,7.813995675002791
2019,上海市,0.54640232,0.088985,0.022192,0.040849,0.013794,0.012151,0.085097,0.039912,11696.0,2481.0,38155.32,4.71422813381701,0.306536545886655,196247114.6,-0.514337488455083,2280.6,5971.5,8517.3,43727,0,1,0,1.5000536746505,0.657120610317548,11696.0,4238.28,634.82,2597.22,493.87,753.68,449.3,658.32,99.4,1568.58,1,1,1,1.4263250439588042,3.2622537619699044,2.3321780553799574e-06,0.15650504307132007,1,1,1.9240438816250178,7.816416983691801
2020,上海市,0.59847158,0.09572,0.023625,0.043758,0.014409,0.013929,0.091797,0.04499,11099.59,2488.22,38700.58,4.460855551358,0.286806812714435,192402586.4,-0.497156855013542,2539.9,6263.0,9057.5,46355,0,1,0,1.47141701078949,0.662123754606594,11099.59,4168.01,631.9,2500.41,465.49,500.57,441.7,640.36,94.23,1576.0,1,1,1,1.4461919208047262,3.4866675255572503,2.4733479446561265e-06,0.16183219993085374,1,1,2.270906109408561,7.819322874387159
2021,上海市,0.5940209,0.087749,0.021623,0.038967,0.012987,0.014173,0.097842,0.051152,11683.02,2489.0,43214.9,4.69386098834873,0.270347033083497,201767860.3,-0.466894196908937,2730.9,6850.5,9877.2,50476,0,1,0,1.36781889095748,0.658657882271161,11683.02,4003.15,616.35,2282.38,484.99,552.69,463.1,647.02,97.75,1750.0,1,1,1,1.4418217648346836,3.698949415476478,2.03052650821823e-06,0.15852171357564174,1,1,2.2412576607854833,7.819636302367592
2022,上海市,0.61285799,0.100221,0.024978,0.044987,0.015939,0.014317,0.091562,0.042703,10951.01,2475.0,44652.8,4.42465050505051,0.245248002364913,206378134.7,-0.462184084088792,2862.3,7052.7,10095.4,51921,0,1,0,1.27047633725244,0.636211969844065,10951.01,3856.82,618.88,2096.48,396.7,373.19,391.25,608.32,95.0,1745.55,1,1,1,1.431423426489146,4.077505179887518,2.2444505159810806e-06,0.1579453024222445,1,1,2.3667419676943795,7.813995675002791
2023,上海市,0.82802822,0.122379,0.038018,0.060693,0.028577,0.024146,0.094968,0.043939,11793.0,2487.0,47218.7,4.74185765983112,0.249752746263663,214378745.6,-0.454012384076648,2894.3,7311.4,10707.5,54172,0,1,0,1.2756783895882,0.644101218785082,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.4644938041961868,4.003959976257101,2.5917486080726494e-06,0.15484119639041313,1,1,3.070359365032423,7.818832443803404
2024,上海市,0.9315855,0.134059,0.044009,0.067856,0.034794,0.028759,0.097347,0.04438,12634.99,2480.0,53926.7,5.09475403225806,0.239775883757179,211640014.7,-0.392458679466758,2971.7,7097.6,12597.9,58685,1,1,1,1.21200651315194,0.676190948474253,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.774952096483318,4.17056121045392,2.4859485190082096e-06,0.13161569315385516,1,1,3.070359365032423,7.8160138391590275
2000,云南省,0.01025261,0.008734,0.00217,0.00391,0.001276,0.001378,0.008061,0.004484,3468.33,4240.8,1955.09,0.8178480475382,1.77400017390504,72148289.67,-3.69027971448885,40.1,80.9,142.7,5138,0,0,0,4.53658228674969,0.186550693620767,3468.33,3062.04,360.0,0.0,90.79,19.24,55.46,11.17,5.17,273.58,0,0,0,1.763906056860321,0.5636978026889021,4.467313525208558e-06,0.041379169245405585,0,0,-1.6268113596378475,8.352507209673597
2001,云南省,0.01352165,0.009364,0.00233,0.004297,0.001384,0.001352,0.008874,0.004405,3741.03,4287.4,2138.31,0.872563791575314,1.74952649522286,75128763.94,-3.51346455565376,44.7,96.1,159.3,5774,0,0,0,4.16809156222866,0.157056772098566,3490.0,3101.0,380.36,0.0,111.47,20.55,114.45,8.68,5.29,347.07,0,0,0,1.6576482830385018,0.5715832270791733,4.379159242579421e-06,0.04494203366209763,0,0,-1.6257698921637238,8.363435767587035
2002,云南省,0.01116783,0.008579,0.002159,0.00384,0.001316,0.001264,0.008439,0.004917,4131.31,4333.1,2312.82,0.953430569338349,1.78626525194351,78746649.47,-3.4047893683901,45.3,113.0,182.3,6478,0,0,0,4.06804884448575,0.163041178080913,4131.0,3556.0,590.14,0.0,97.6,18.95,179.35,8.53,5.14,393.46,0,0,0,1.6132743362831858,0.5598272702847281,3.709324547522072e-06,0.04885810395966828,0,0,-1.6268113596378475,8.374038500171961
2003,云南省,0.01969506,0.00973,0.002507,0.004278,0.001412,0.001534,0.010086,0.00534,4449.97,4375.6,2556.02,1.01699652619069,1.74097620519401,93734727.01,-3.66721414582046,46.0,132.2,206.8,7248,0,0,0,4.08414499624993,0.10208522244247,4449.97,4613.54,759.23,0.0,106.1,20.02,207.45,5.69,5.6,409.79,0,0,0,1.5642965204236008,0.5743903891486909,3.806699478094851e-06,0.05172103504667412,0,0,-1.5846453832764995,8.383798932245636
2004,云南省,0.02227083,0.010077,0.002543,0.004579,0.001639,0.001317,0.010465,0.005761,5209.81,4415.2,3081.91,1.17997146222142,1.69044845566548,108853628.3,-3.5320184009267,58.1,154.4,231.2,8275,0,0,0,3.89549779892895,0.0933075608724984,5209.81,5688.54,1046.32,0.06,111.47,23.5,238.69,7.54,5.76,475.19,0,0,0,1.4974093264248702,0.591559001191982,3.2697255922463666e-06,0.050098802366065204,0,0,-1.5674867503238126,8.39280841212529
2005,云南省,0.02612825,0.010511,0.002641,0.004714,0.001635,0.00152,0.01129,0.005979,6023.97,4450.4,3461.73,1.35357945353227,1.74016171105199,119192719.3,-3.44315470299532,62.8,190.3,246.3,9233,0,0,0,3.71995059106252,0.0744084850837068,6024.0,6681.53,1223.36,0.07,122.95,28.71,283.9,3.91,6.12,557.25,0,0,0,1.2942722017866526,0.5746592363507786,3.0363431001262372e-06,0.05497251374312844,0,0,-1.5417903356888285,8.400749258761083
2006,云南省,0.03675201,0.012248,0.002971,0.005527,0.001866,0.001885,0.012034,0.006829,6620.57,4483.0,3988.14,1.47681686370734,1.66006459151384,141647714.3,-3.55172371832483,65.8,228.1,291.2,10728,0,0,0,3.57740717995078,0.007179350947214,6640.58,7482.0,1252.01,0.07,128.12,35.06,331.66,4.72,5.45,645.62,0,0,0,1.2766330556773344,0.6023861993755825,3.0711058287823396e-06,0.057194581935438575,0,0,-1.4710195764916034,8.40804774415544
2007,云南省,0.03435567,0.012328,0.003155,0.005579,0.00178,0.001813,0.012134,0.005818,7132.63,4514.0,4772.52,1.58011298183429,1.49452071442341,160580656.8,-3.36469321867693,81.6,275.3,363.2,13100,0,0,0,3.23986794305777,0.0,7173.26,7620.45,1377.39,0.11,158.11,36.18,382.15,5.04,5.49,745.52,0,0,0,1.3192880494006538,0.6691108328905327,2.583121705095002e-06,0.057684409913421,0,0,-1.4869829266703234,8.414938957377482
2008,云南省,0.02901633,0.010785,0.0028,0.00492,0.001658,0.001407,0.012399,0.006193,7510.82,4543.0,5692.12,1.65327316751046,1.31951188660815,164535197.3,-2.89057850677779,103.6,350.3,443.0,16220,0,0,0,2.71728515287532,0.0,7511.0,7916.0,1331.43,0.06,178.86,38.19,411.95,5.2,5.28,829.44,0,0,0,1.2646303168712532,0.7578559997443688,1.8947246368664046e-06,0.06154121838611976,0,0,-1.5225512325631627,8.421342865759403
2009,云南省,0.02745206,0.010997,0.00285,0.004964,0.001692,0.001491,0.012041,0.005365,8032.06,4571.0,6169.75,1.75717786042441,1.30184529356943,169992074.3,-2.7552506065886,105.3,365.7,468.7,16907,0,0,0,2.66960201713366,0.0,8032.0,8886.0,1276.33,0.07,193.27,37.24,437.7,5.16,4.52,891.19,0,0,0,1.2816516270166805,0.7681404272378443,1.7824060942501722e-06,0.059273066169617895,0,0,-1.5329717028570553,8.427487278331744
2010,云南省,0.0394844,0.013189,0.003331,0.005981,0.002018,0.00186,0.012572,0.00618,8674.17,4601.6,7224.18,1.88503346662031,1.20071343737282,181081817.6,-2.50660722185771,132.6,444.2,567.4,20418,0,0,0,2.40850270516871,0.0,8674.17,9349.4,1231.21,0.06,232.49,47.44,562.04,5.62,3.64,1004.07,0,0,0,1.2773525438991444,0.8328381850943664,1.8256743325886119e-06,0.06148794742102218,0,0,-1.452817610829455,8.434159348086673
2011,云南省,0.05270948,0.015198,0.003744,0.006867,0.00206,0.002527,0.014192,0.006985,9540.28,4620.0,8893.12,2.06499567099567,1.07277086107013,196406396.0,-2.20852069914721,152.6,553.1,664.6,24233,0,0,0,2.18035126729488,0.0,9540.0,9664.0,1218.44,0.02,250.34,51.12,609.84,2.59,4.2,1204.0,0,0,0,1.2015910323630445,0.9321655129618838,1.7089615343096683e-06,0.06219414558670073,0,0,-1.364718015954944,8.438149984075784
2012,云南省,0.05179508,0.014877,0.0038,0.006729,0.002207,0.00214,0.014234,0.007292,10433.68,4631.0,10309.47,2.25300798963507,1.01204814602497,212197155.4,-2.05827414406366,174.2,620.2,734.1,26839,0,0,0,2.01609935715007,0.0,10433.68,9850.0,1338.87,0.02,287.51,56.06,650.89,2.61,4.3,1313.62,0,0,0,1.1836504353434376,0.9880952837349812,1.4430421738459883e-06,0.06015828165754399,0,0,-1.3708093416447134,8.440528106480752
2013,云南省,0.0517907,0.01425,0.003782,0.006459,0.002085,0.001924,0.015686,0.007587,10072.09,4641.0,11832.31,2.17024132730015,0.851236149154307,221424996.0,-1.87135898231199,204.7,681.0,827.6,30005,0,0,0,1.91398219724656,0.0222693894414938,10072.0,9783.09,1347.57,0.03,280.01,63.73,559.81,3.24,4.27,1459.81,1,0,0,1.2152716593245227,1.1747621397346528,1.2043295011709465e-06,0.057554273003327334,0,0,-1.3708385192546446,8.442685139241176
2014,云南省,0.05609532,0.016055,0.004144,0.00728,0.002164,0.002468,0.014743,0.006759,10454.83,4653.0,12814.59,2.24690092413497,0.815853648068335,218347353.8,-1.70389652575697,215.9,714.8,917.0,32218,0,0,0,1.79640226266579,0.051495001332019,10454.83,8674.67,1133.78,0.04,297.74,77.3,569.13,3.82,4.63,1529.38,1,0,0,1.2828763290430891,1.2257100306748172,1.2528688003283756e-06,0.05578016932262366,0,0,-1.342163057322564,8.445267451844648
2015,云南省,0.04605358,0.014046,0.003463,0.006313,0.002068,0.002202,0.013963,0.00639,10424.69,4663.0,13619.17,2.23561870040746,0.765442387458267,214096865.2,-1.57202579305494,208.9,761.1,1041.0,34883,0,0,0,1.71577514742415,0.0837809981016528,10425.0,7756.37,874.33,0.03,368.35,82.39,596.17,2.51,6.34,1439.0,1,0,0,1.367757193535672,1.306434052235606,1.0313403827105469e-06,0.05588446285640021,0,0,-1.40905665840741,8.44741429680832
2016,云南省,0.0807222,0.01852,0.004984,0.008343,0.002923,0.002269,0.019891,0.009612,10725.95,4677.0,14788.42,2.29333974770152,0.72529384477855,209680614.5,-1.41787029648874,221.2,867.7,1169.3,38968,0,0,0,1.62438398605541,0.127133541908498,10726.0,7481.48,907.09,0.04,391.03,102.96,610.5,1.11,7.71,1410.52,1,0,0,1.3475855710499018,1.3787515324982869,1.2523312159108273e-06,0.058674287043511075,0,0,-1.1781097471707014,8.450412157725886
2017,云南省,0.05730318,0.015424,0.003845,0.007003,0.002267,0.002309,0.016051,0.007456,11163.57,4693.0,16376.34,2.37877050926912,0.681688948812738,211404764.9,-1.2909158267354,238.4,975.7,1251.0,42211,1,0,0,1.56738551218677,0.176389078054988,11164.0,7396.26,952.31,401.96,395.84,113.82,610.83,0.57,9.69,1538.1,1,0,0,1.2821564005329507,1.4669447139221594,9.418465908743957e-07,0.05957985728190793,0,0,-1.3341168317673973,8.453827315794417
2018,云南省,0.07235633,0.018514,0.004846,0.008266,0.00259,0.002813,0.01714,0.00764,11590.02,4703.0,17881.12,2.46438868807144,0.648170808092558,216118097.9,-1.20863848517319,268.1,1093.7,1386.2,46854,1,0,0,1.51591455826218,0.202700126741472,11590.0,7402.33,1064.75,1010.03,426.64,122.56,628.65,1.77,13.0,1679.08,1,0,0,1.2674407972935906,1.542803204826221,1.035393756095815e-06,0.0611650724339415,0,1,-1.2338394484483364,8.455955881945048
2019,云南省,0.07207046,0.018757,0.004861,0.008826,0.002778,0.002292,0.016755,0.007961,12178.57,4714.0,23223.75,2.58348960543063,0.524401528607568,215608520.9,-0.928396666774315,301.9,1153.9,1485.3,49976,1,0,0,1.5000536746505,0.381091035298704,12158.0,7532.73,1120.29,1086.58,467.34,127.65,673.37,0.23,16.47,1812.26,1,0,0,1.287199930669902,1.9069357075584408,8.076645675224715e-07,0.04968620485494376,0,1,-1.2357437871129626,8.458292083496076
2020,云南省,0.07458692,0.018291,0.004565,0.008119,0.002909,0.002699,0.017239,0.008681,13006.71,4722.22,24521.9,2.75436341381808,0.530411999070219,214011019.0,-0.872734245715055,338.0,1143.2,1528.6,50845,1,0,0,1.47141701078949,0.40687497880238,12981.94,8201.22,1216.96,1027.62,467.21,94.56,672.61,0.01,18.7,2025.0,1,0,0,1.3371238628411475,1.885326881278971,7.459046811217728e-07,0.04661955231853975,0,1,-1.2189802509742087,8.460034306987943
2021,云南省,0.08498067,0.019299,0.004874,0.00863,0.002733,0.003061,0.019337,0.009937,13448.94,4690.0,27146.8,2.86757782515991,0.495415297567301,217178002.5,-0.800013270440715,353.6,1364.7,1666.7,57036,1,0,0,1.36781889095748,0.415117545363989,13426.35,7926.43,1180.27,976.39,520.09,92.76,669.95,0.04,21.14,2139.0,1,0,0,1.221294057301971,2.0185085218612024,7.109125200760311e-07,0.05027111851120574,0,1,-1.1497417159916643,8.453187861440325
2022,云南省,0.07969991,0.01915,0.004619,0.008701,0.00293,0.002899,0.01869,0.008541,14188.64,4693.0,28954.2,3.0233624547198,0.490037369362649,209498947.3,-0.723552877648148,379.2,1591.0,1653.0,60946,1,0,0,1.27047633725244,0.430486931214381,14158.5344493282,7860.79,1121.45,1003.31,499.8,63.81,644.95,0.11,23.93,2389.52,1,0,0,1.0389692017598995,2.040660697572142,6.61389366654924e-07,0.05494885025315843,0,1,-1.1849197880055593,8.453827315794417
2023,云南省,0.09789399,0.020159,0.005521,0.00993,0.004286,0.003896,0.019202,0.008302,14500.78,4673.0,30021.1,3.10309865182966,0.483019609541289,213411116.2,-0.71087040847937,387.0,1612.8,1799.2,63903,1,0,0,1.2756783895882,0.442751077166991,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.115575396825397,2.070309321291682,6.714943822844599e-07,0.05372221537518612,0,1,-1.0637189274350036,8.449556542700426
2024,云南省,0.1048481,0.020515,0.00569,0.010327,0.004795,0.004221,0.019671,0.008482,14812.92,4655.0,31534.1,3.18215252416756,0.469742913227268,214667509.2,-0.680747220310711,359.1,1662.4,1929.3,66568,1,0,0,1.21200651315194,0.438330394330669,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.1605510105871029,2.128824026593001,6.505655782153288e-07,0.05271753435170182,0,1,-1.0173937427319406,8.445697189711167
2000,内蒙古自治区,0.01621905,0.009834,0.002489,0.004446,0.001373,0.001526,0.008958,0.004574,3549.0,2372.0,1401.01,1.49620573355818,2.53317249698432,139033346.4,-9.41186911534738,784.9,1293.2,1473.4,5590,0,1,0,4.53658228674969,0.0,3549.33,5907.99,286.47,126.26,64.81,1.55,68.73,30.99,0.01,254.21,0,0,0,1.139344262295082,0.39476190476190476,7.0192218470960245e-06,0.923048372245737,0,0,-1.607801014303287,7.771488760117616
2001,内蒙古自治区,0.01336531,0.008707,0.002232,0.003889,0.001288,0.001298,0.00975,0.004812,4073.0,2381.45,1713.81,1.71030254676773,2.37657616655289,141565510.7,-8.26028035196434,825.7,1412.8,1593.4,6120,0,1,0,4.16809156222866,0.0,4073.0,6265.0,312.81,133.07,72.1,1.56,87.77,33.48,0.14,279.68,0,0,0,1.1278312570781428,0.42077338571077827,5.08049317018806e-06,0.8243620938143669,0,0,-1.6268113596378475,7.7754648248494025
2002,内蒙古自治区,0.0172606,0.009743,0.002412,0.004393,0.00148,0.001457,0.009999,0.004493,4560.0,2384.05,1940.94,1.9127115622575,2.34937710593836,155354833.8,-8.0041028470741,847.3,1523.5,1780.8,6734,0,1,0,4.06804884448575,0.0,4560.0,6864.0,393.58,126.05,79.35,1.58,96.87,39.06,0.22,320.44,0,0,0,1.1688874302592713,0.4256447368421053,5.019732706832772e-06,0.7849289519511164,0,0,-1.6008626719233885,7.776556001119669
2003,内蒙古自治区,0.02900731,0.011289,0.002894,0.004958,0.001791,0.001648,0.011314,0.00573,5778.0,2385.78,2388.38,2.42184945803888,2.41921302305328,192671541.1,-8.06703879198452,869.7,1772.3,2018.0,7589,0,1,0,4.08414499624993,0.0,5777.85,9024.63,477.34,128.83,96.63,1.76,152.6,39.37,2.04,406.62,0,0,0,1.138633414207527,0.4133575631706473,4.726634790108777e-06,0.7420510973965616,0,0,-1.5226113197872677,7.777281393880359
2004,内蒙古自治区,0.0220823,0.011032,0.002808,0.005078,0.001489,0.001656,0.0094,0.00478,7623.0,2392.66,3041.07,3.18599383113355,2.50668350284604,227520871.6,-7.4816058689869,1022.5,2135.6,2384.6,9004,0,1,0,3.89549779892895,0.0,7622.54,11391.44,577.98,132.19,151.3,1.94,252.21,47.97,4.42,535.58,0,0,0,1.1165948679528002,0.3989334907516726,3.627670523861667e-06,0.7022528254857665,0,0,-1.5687426532462667,7.780160996744115
2005,内蒙古自治区,0.02460366,0.010544,0.002637,0.004703,0.001657,0.001547,0.010853,0.005538,9666.0,2403.11,3905.03,4.0222877854114,2.47526907603783,274325478.0,-7.02492626177008,1078.3,2490.2,2801.4,10200,0,1,0,3.71995059106252,0.0,9642.6,13921.81,814.03,131.83,192.41,0.4,379.96,25.34,6.35,667.72,0,0,0,1.1249698819371938,0.4039964825160356,2.7001072975111584e-06,0.637690363454314,0,0,-1.5519464754890966,7.784519010801967
