,parameter
Intercept,1.4577373206565962
W_减排效率,-2.689486844054489
gfi_std,-0.0779712699644073
indus_2,-0.03824372151620663
人均能源消耗,-0.03442857662276169
W_gfi_std,-0.19546016497278115
W_indus_2,-0.23866786470555934
W_人均能源消耗,-0.07661496979796613
