变量,直接效应,直接效应标准误,直接效应p值,直接效应显著性,间接效应,间接效应标准误,间接效应p值,间接效应显著性,总效应,总效应标准误,总效应p值,总效应显著性
gfi_std,-0.206594,0.141316,0.1438,,0.183348,0.141997,0.1966,,-0.023246,0.014633,0.1121,
indus_2,-0.257387,0.060076,0.0,***,0.198759,0.056989,0.0005,***,-0.058628,0.013703,0.0,***
人均能源消耗,0.251159,0.071366,0.0004,***,-0.248735,0.071502,0.0005,***,0.002424,0.00787,0.7581,
