变量,直接效应,直接效应标准误,直接效应p值,直接效应显著性,间接效应,间接效应标准误,间接效应p值,间接效应显著性,总效应,总效应标准误,总效应p值,总效应显著性
gfi_std,-0.058048,0.166857,0.7279,,0.051711,0.164398,0.7531,,-0.006337,0.028116,0.8217,
indus_2,-0.032385,0.059826,0.5883,,0.032307,0.059457,0.5869,,-7.8e-05,0.006068,0.9897,
人均能源消耗,-0.031289,0.06232,0.6156,,0.032151,0.061897,0.6035,,0.000862,0.006515,0.8947,
