,parameter
Intercept,0.2548188967011703
W_减排效率,1.0811166929114342
gfi_std,-0.0505209758299873
indus_2,-0.011291250254433288
人均能源消耗,-0.02135520380256982
W_gfi_std,-0.11058160159808508
W_indus_2,-0.12813382353622269
W_人均能源消耗,-0.02337791689635951
