变量,直接效应,直接效应标准误,直接效应p值,直接效应显著性,间接效应,间接效应标准误,间接效应p值,间接效应显著性,总效应,总效应标准误,总效应p值,总效应显著性
gfi_std,-0.395621,0.175768,0.0244,*,0.367144,0.168397,0.0292,*,-0.028477,0.043366,0.5114,
indus_2,-0.267076,0.17055,0.1174,,0.235357,0.065047,0.0003,***,-0.031718,0.151178,0.8338,
人均能源消耗,0.262232,0.112225,0.0195,*,-0.254821,0.0714,0.0004,***,0.00741,0.086169,0.9315,
