变量,直接效应,直接效应标准误,直接效应p值,直接效应显著性,间接效应,间接效应标准误,间接效应p值,间接效应显著性,总效应,总效应标准误,总效应p值,总效应显著性
gfi_std,-0.863619,5.528778,0.8759,,0.865347,5.528748,0.8756,,0.001728,0.005904,0.7697,
indus_2,-0.433502,1.234472,0.7255,,0.42892,1.234383,0.7282,,-0.004582,0.002698,0.0894,†
人均能源消耗,0.148687,2.577385,0.954,,-0.141867,2.577678,0.9561,,0.00682,0.003707,0.0658,†
