变量,直接效应,直接效应标准误,直接效应p值,直接效应显著性,间接效应,间接效应标准误,间接效应p值,间接效应显著性,总效应,总效应标准误,总效应p值,总效应显著性
gfi_std,0.014139,2.13639,0.9947,,0.052063,0.175673,0.767,,0.066202,2.128615,0.9752,
indus_2,0.043638,3.109396,0.9888,,0.013656,0.081614,0.8671,,0.057294,3.108255,0.9853,
人均能源消耗,-0.003169,0.722741,0.9965,,0.021551,0.030683,0.4824,,0.018382,0.722076,0.9797,
