,parameter
Intercept,-26.291864357039426
W_碳排放强度,-7.762551713304715
gfi_std,-0.3156017868145546
indus_2,-0.25628611744069996
人均能源消耗,0.18215545947592504
W_gfi_std,0.7699405583937037
W_indus_2,-0.9482199696035006
W_人均能源消耗,1.6106318487544486
