,parameter
Intercept,-1.5856663644713502
W_碳排放强度,-0.5199819144812842
gfi_std,-0.22801015638501498
indus_2,-0.3229042475010694
人均能源消耗,0.24337195076447035
W_gfi_std,-0.831999287933478
W_indus_2,-2.3505004903717195
W_人均能源消耗,-0.13284865076159427
