检验类型,核心变量,核心变量系数,P值,显著性,R²,观测值数
替换被解释变量(碳排放强度),gfi_std,0.1772,0.1091,,0.6645,750
核心解释变量滞后一期,gfi_std_lag1,0.0756,0.0164,*,0.1429,720
剔除直辖市样本,gfi_std,0.069,0.0023,**,0.237,650
排除环保税政策干扰(2018前),gfi_std,0.0311,0.386,,0.0246,540
PSM-DID倾向得分匹配,DID,-0.0033,0.9562,,0.1258,250
面板门槛效应模型(Hansen),gfi_std(门槛值=0.9256),门槛前=0.1511; 门槛后=-0.069,门槛前=0.0; 门槛后=0.0001,门槛前=***; 门槛后=***,,750
