,变量,直接效应,间接效应,总效应
0,gfi_std,0.146745,-0.139266,0.007479
1,ln_pop,1.028763,-1.185205,-0.156442
2,能源强度,1.314003,-1.194446,0.119556
3,人均能源消耗,-0.32144,0.319135,-0.002304
